Unnamed: 0,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,airport_fee
0,2,2023-06-30 23:59:59,2023-07-01 00:47:49,2.0,17.62,2.0,N,132,230,1,70.0,0.0,0.5,0.0,6.55,1.0,82.3,2.5,1.75,
1,2,2023-06-30 23:59:57,2023-07-01 00:17:36,1.0,3.32,1.0,N,255,198,1,18.4,1.0,0.5,2.5,0.0,1.0,23.4,0.0,0.0,
2,1,2023-06-30 23:59:55,2023-07-01 00:14:20,1.0,2.8,1.0,N,231,107,1,14.9,3.5,0.5,3.95,0.0,1.0,23.85,2.5,0.0,
3,2,2023-06-30 23:59:55,2023-07-01 00:05:52,1.0,0.89,1.0,N,237,163,1,7.2,1.0,0.5,2.0,0.0,1.0,14.2,2.5,0.0,
4,2,2023-06-30 23:59:55,2023-07-01 00:07:08,4.0,1.56,1.0,N,211,90,1,10.0,1.0,0.5,3.0,0.0,1.0,18.0,2.5,0.0,
5,2,2023-06-30 23:59:54,2023-07-01 00:14:58,1.0,3.85,1.0,N,161,166,1,19.1,1.0,0.5,10.0,0.0,1.0,34.1,2.5,0.0,
6,2,2023-06-30 23:59:53,2023-07-01 00:05:52,2.0,1.05,1.0,N,65,33,1,7.9,1.0,0.5,2.08,0.0,1.0,12.48,0.0,0.0,
7,2,2023-06-30 23:59:53,2023-07-01 00:08:36,1.0,1.5,1.0,N,107,249,1,10.7,1.0,0.5,3.14,0.0,1.0,18.84,2.5,0.0,
8,1,2023-06-30 23:59:52,2023-07-01 00:15:15,3.0,2.8,1.0,N,48,79,1,14.9,3.5,0.5,4.0,0.0,1.0,23.9,2.5,0.0,
9,2,2023-06-30 23:59:51,2023-07-01 00:08:49,1.0,2.17,1.0,N,90,48,4,12.1,1.0,0.5,0.0,0.0,1.0,17.1,2.5,0.0,
10,2,2023-06-30 23:59:51,2023-07-01 00:26:37,,10.16,,,25,75,0,37.15,0.0,0.5,0.0,0.0,1.0,41.15,,,
11,1,2023-06-30 23:59:50,2023-07-01 00:03:12,2.0,0.6,1.0,N,107,79,1,5.8,3.5,0.5,2.15,0.0,1.0,12.95,2.5,0.0,
12,1,2023-06-30 23:59:50,2023-07-01 00:03:27,2.0,1.5,1.0,N,263,229,1,7.9,3.5,0.5,2.0,0.0,1.0,14.9,2.5,0.0,
13,2,2023-06-30 23:59:49,2023-07-01 00:24:27,2.0,10.76,1.0,N,138,230,1,44.3,6.0,0.5,12.17,6.55,1.0,74.77,2.5,1.75,
14,1,2023-06-30 23:59:49,2023-07-01 00:06:23,2.0,0.9,1.0,N,209,232,2,7.2,3.5,0.5,0.0,0.0,1.0,12.2,2.5,0.0,
15,1,2023-06-30 23:59:47,2023-07-01 00:20:05,1.0,4.3,1.0,N,163,260,1,21.2,3.5,0.5,7.85,0.0,1.0,34.05,2.5,0.0,
16,2,2023-06-30 23:59:47,2023-07-01 00:16:06,1.0,8.4,1.0,N,138,262,2,33.1,6.0,0.5,0.0,6.55,1.0,51.4,2.5,1.75,
17,2,2023-06-30 23:59:46,2023-07-01 00:20:24,2.0,4.32,1.0,N,79,49,1,24.0,1.0,0.5,7.25,0.0,1.0,36.25,2.5,0.0,
18,2,2023-06-30 23:59:43,2023-07-01 00:06:21,1.0,1.32,1.0,N,158,107,1,8.6,1.0,0.5,2.0,0.0,1.0,15.6,2.5,0.0,
19,2,2023-06-30 23:59:41,2023-07-01 00:13:28,1.0,2.9,1.0,N,158,48,1,17.0,1.0,0.5,4.4,0.0,1.0,26.4,2.5,0.0,
20,2,2023-06-30 23:59:39,2023-07-01 00:27:22,1.0,6.82,1.0,N,68,74,1,32.4,1.0,0.5,11.22,0.0,1.0,48.62,2.5,0.0,
21,2,2023-06-30 23:59:38,2023-07-01 00:23:44,2.0,8.55,1.0,N,138,186,1,38.0,6.0,0.5,10.91,6.55,1.0,67.21,2.5,1.75,
22,1,2023-06-30 23:59:38,2023-07-01 00:22:13,4.0,5.0,1.0,N,249,263,1,24.7,3.5,0.5,5.9,0.0,1.0,35.6,2.5,0.0,
23,2,2023-06-30 23:59:35,2023-07-01 00:17:16,1.0,2.26,1.0,N,186,141,1,17.0,1.0,0.5,4.4,0.0,1.0,26.4,2.5,0.0,
24,2,2023-06-30 23:59:35,2023-07-01 00:19:41,2.0,2.82,1.0,N,249,142,1,19.8,1.0,0.5,2.0,0.0,1.0,26.8,2.5,0.0,
25,2,2023-06-30 23:59:33,2023-07-01 00:10:27,1.0,0.9,1.0,N,100,48,1,10.7,1.0,0.5,2.5,0.0,1.0,18.2,2.5,0.0,
26,2,2023-06-30 23:59:33,2023-07-01 00:17:24,1.0,9.0,1.0,N,138,234,1,35.9,6.0,0.5,10.49,6.55,1.0,64.69,2.5,1.75,
27,2,2023-06-30 23:59:32,2023-07-01 00:17:24,1.0,3.32,1.0,N,224,50,1,19.8,1.0,0.5,2.5,0.0,1.0,27.3,2.5,0.0,
28,2,2023-06-30 23:59:32,2023-07-01 00:24:54,2.0,3.52,1.0,N,114,37,1,26.1,1.0,0.5,6.22,0.0,1.0,37.32,2.5,0.0,
29,1,2023-06-30 23:59:32,2023-07-01 00:10:28,1.0,2.2,1.0,N,144,164,1,12.1,3.5,0.5,4.3,0.0,1.0,21.4,2.5,0.0,
30,2,2023-06-30 23:59:30,2023-07-01 00:21:37,1.0,4.62,1.0,N,114,143,1,24.0,1.0,0.5,2.9,0.0,1.0,31.9,2.5,0.0,
31,1,2023-06-30 23:59:30,2023-07-01 00:21:39,1.0,7.6,1.0,N,264,152,2,35.2,6.0,0.5,0.0,6.55,1.0,49.25,0.0,0.0,
32,2,2023-06-30 23:59:29,2023-07-01 00:08:00,2.0,0.87,1.0,N,233,230,2,9.3,1.0,0.5,0.0,0.0,1.0,14.3,2.5,0.0,
33,2,2023-06-30 23:59:29,2023-07-01 00:05:44,1.0,1.28,1.0,N,234,249,1,8.6,1.0,0.5,2.72,0.0,1.0,16.32,2.5,0.0,
34,2,2023-06-30 23:59:28,2023-07-01 00:21:36,1.0,4.37,1.0,N,231,48,1,24.7,1.0,0.5,5.94,0.0,1.0,35.64,2.5,0.0,
35,2,2023-06-30 23:59:27,2023-07-01 00:07:08,1.0,1.56,1.0,N,230,68,1,10.0,1.0,0.5,4.5,0.0,1.0,19.5,2.5,0.0,
36,2,2023-06-30 23:59:26,2023-07-01 00:14:49,1.0,4.52,1.0,N,79,236,1,20.5,1.0,0.5,5.1,0.0,1.0,30.6,2.5,0.0,
37,2,2023-06-30 23:59:25,2023-07-01 00:05:47,2.0,1.09,1.0,N,170,229,1,7.9,1.0,0.5,2.58,0.0,1.0,15.48,2.5,0.0,
38,2,2023-06-30 23:59:24,2023-07-01 00:16:39,,3.53,,,148,37,0,19.17,0.0,0.5,2.0,0.0,1.0,25.17,,,
39,2,2023-06-30 23:59:23,2023-07-01 00:13:03,,2.79,,,25,225,0,15.41,0.0,0.5,1.0,0.0,1.0,17.91,,,
40,1,2023-06-30 23:59:22,2023-07-01 00:10:58,1.0,1.7,1.0,N,164,246,1,10.7,3.5,0.5,1.0,0.0,1.0,16.7,2.5,0.0,
41,2,2023-06-30 23:59:22,2023-07-01 00:45:21,1.0,17.96,2.0,N,132,230,1,70.0,0.0,0.5,16.46,6.55,1.0,98.76,2.5,1.75,
42,1,2023-06-30 23:59:22,2023-07-01 00:38:56,2.0,16.0,1.0,N,132,260,2,66.7,1.0,0.5,0.0,0.0,1.0,69.2,0.0,0.0,
43,2,2023-06-30 23:59:21,2023-07-01 00:20:57,1.0,3.63,1.0,N,114,142,1,21.9,1.0,0.5,5.38,0.0,1.0,32.28,2.5,0.0,
44,2,2023-06-30 23:59:21,2023-07-01 00:02:54,2.0,0.69,1.0,N,48,143,1,5.8,1.0,0.5,2.16,0.0,1.0,12.96,2.5,0.0,
45,2,2023-06-30 23:59:18,2023-07-01 00:16:35,4.0,2.71,1.0,N,158,87,2,17.7,1.0,0.5,0.0,0.0,1.0,22.7,2.5,0.0,
46,2,2023-06-30 23:59:16,2023-07-01 00:57:39,1.0,18.6,2.0,N,132,68,1,70.0,0.0,0.5,16.11,6.55,1.0,98.41,2.5,1.75,
47,2,2023-06-30 23:59:14,2023-07-01 00:06:50,1.0,1.66,1.0,N,249,164,1,10.0,1.0,0.5,0.0,0.0,1.0,15.0,2.5,0.0,
48,1,2023-06-30 23:59:12,2023-07-01 00:10:06,2.0,1.3,1.0,N,249,144,1,11.4,2.5,0.5,3.05,0.0,1.0,18.45,2.5,0.0,
49,1,2023-06-30 23:59:12,2023-07-01 00:50:07,1.0,16.5,2.0,N,132,164,1,70.0,4.25,0.5,16.45,6.55,1.0,98.75,2.5,1.75,
50,2,2023-06-30 23:59:11,2023-07-01 00:04:07,1.0,0.59,1.0,N,249,249,1,6.5,1.0,0.5,0.0,0.0,1.0,11.5,2.5,0.0,
51,2,2023-06-30 23:59:10,2023-07-01 00:21:14,1.0,3.47,1.0,N,230,4,1,21.9,1.0,0.5,5.38,0.0,1.0,32.28,2.5,0.0,
52,2,2023-06-30 23:59:09,2023-07-01 00:04:46,1.0,1.18,1.0,N,79,107,1,7.9,1.0,0.5,2.0,0.0,1.0,14.9,2.5,0.0,
53,2,2023-06-30 23:59:06,2023-07-01 00:09:53,1.0,1.72,1.0,N,48,164,1,12.1,1.0,0.5,4.28,0.0,1.0,21.38,2.5,0.0,
54,2,2023-06-30 23:59:06,2023-07-01 00:08:27,4.0,1.93,1.0,N,236,163,1,12.1,1.0,0.5,4.28,0.0,1.0,21.38,2.5,0.0,
55,2,2023-06-30 23:59:05,2023-07-01 00:39:44,1.0,19.72,2.0,N,132,236,2,70.0,0.0,0.5,0.0,6.55,1.0,79.8,0.0,1.75,
56,2,2023-06-30 23:59:05,2023-07-01 00:07:17,1.0,1.0,1.0,N,79,90,1,10.7,1.0,0.5,3.14,0.0,1.0,18.84,2.5,0.0,
